era,book_id,chap_num,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
classical/romantic gothic,41445,20,4.3252596179309816e-05,0.06096182572071126,0.009521445584292203,4.325259559866865e-05,4.3252596142728855e-05,0.10559390567530305,4.325259626417847e-05,4.3252596059570705e-05,4.325259515574169e-05,4.325259597713137e-05,0.27368951658099755,4.325259616399085e-05,4.325259623067929e-05,4.325259616364361e-05,4.325259515574169e-05,4.32525961221317e-05,0.33326021764561825,0.21636755244960926,4.325259605011917e-05,4.325259620485824e-05
classical/romantic gothic,41445,21,4.901960880199053e-05,0.17268988013250722,4.901960891616509e-05,4.901960822947496e-05,4.9019608869128956e-05,4.9019608893453716e-05,4.901960875088913e-05,4.901960875894015e-05,4.901960784316554e-05,4.901960856183167e-05,4.901960894516205e-05,4.901960912119364e-05,4.90196087641428e-05,4.901960873870569e-05,4.901960784316554e-05,4.901960886245355e-05,0.8264277669109706,4.90196089708882e-05,4.901960891540674e-05,4.901960873597173e-05
classical/romantic gothic,41445,22,6.459948441731698e-05,0.053314913371228075,6.4599484411988e-05,6.459948408617766e-05,6.459948466107846e-05,6.459948516929177e-05,6.459948473024925e-05,6.459948471961487e-05,6.459948320417747e-05,6.459948411437163e-05,0.4116665867300139,6.459948485545794e-05,6.459948444642775e-05,6.459948464580218e-05,6.459948320417747e-05,6.45994846231244e-05,0.2906690134706687,0.2433158946781809,6.459948430058013e-05,6.459948431872617e-05
classical/romantic gothic,41445,23,2.0316944788752587e-05,0.020818339019716706,2.0316944931194838e-05,2.0316944775842548e-05,0.06756577862356385,2.031694484824543e-05,2.0316944814777813e-05,2.031694477607602e-05,2.0316944331593198e-05,2.0316944660387393e-05,0.10860973699214516,0.026421115590160592,2.031694507684787e-05,2.0316944842574903e-05,2.0316944331593198e-05,2.0316944810705014e-05,0.5538888914886293,0.2224117010594256,2.0316944711241926e-05,2.031694465910656e-05
classical/romantic gothic,53685,1,2.5813113655999832e-05,2.581311367643482e-05,2.5813113653595817e-05,2.5813113426620874e-05,2.5813113742745327e-05,0.08972644631465063,2.5813113537575824e-05,2.5813113569807518e-05,2.5813113061455877e-05,2.5813113606102697e-05,2.5813113535271823e-05,2.581311378972584e-05,2.5813113692537862e-05,0.13743135435811873,2.5813113061455877e-05,0.08371568948039436,2.5813113628095924e-05,0.6763589549254888,2.581311355973267e-05,0.012380358218150296
classical/romantic gothic,53685,2,5.2301256364207064e-05,5.2301256455650735e-05,5.230125616598373e-05,5.230125604261594e-05,5.230125645945003e-05,0.19688006905941022,5.230125631241892e-05,5.2301256223651054e-05,5.2301255230163325e-05,5.2301256230476553e-05,5.230125631617238e-05,5.2301256485348185e-05,5.2301256386283995e-05,0.13314680888707386,5.2301255230163325e-05,5.2301256588075615e-05,5.23012563088214e-05,0.669084000697924,5.23012563787478e-05,5.230125641367078e-05
classical/romantic gothic,53685,3,1.1488970811528824e-05,1.1488970838478242e-05,1.1488970845432642e-05,1.1488970802517293e-05,0.02127837554160469,0.0315465176982745,1.1488970826801886e-05,1.148897089030377e-05,1.1488970588244284e-05,1.1488970889312288e-05,1.1488970870413485e-05,0.03209077316566428,1.1488970827135787e-05,0.03549604102891305,1.1488970588244284e-05,0.1398541776187301,0.03642506163448627,0.7031596966919262,1.1488970797403909e-05,1.1488970824887367e-05
classical/romantic gothic,53685,4,5.122950922234105e-05,5.122950905618291e-05,5.122950887550904e-05,5.12295086775281e-05,0.07757000226529283,0.0505415195933209,5.122950932057734e-05,5.122950926791621e-05,5.1229508196759455e-05,5.1229509160431394e-05,0.06980732255508171,5.122950933474144e-05,5.1229509321424236e-05,0.03246314217638844,5.1229508196759455e-05,5.1229509576110997e-05,5.122950939957768e-05,0.7688495707742208,5.1229508777200214e-05,5.1229509312251675e-05
classical/romantic gothic,53685,5,5.975857652354847e-06,5.975857684276676e-06,5.9758576626566595e-06,5.975857609952349e-06,5.975857675451294e-06,5.975857674079138e-06,5.975857647297393e-06,5.975857650677711e-06,5.975857535560314e-06,5.975857630537432e-06,5.975857661073515e-06,5.975857653332632e-06,5.975857659688583e-06,5.975857667085665e-06,5.975857535560314e-06,0.13638590769235312,5.975857682773024e-06,0.8635065268700636,5.975857655905877e-06,5.975857645041309e-06
high gothic,696,1,1.937233667416448e-05,1.9372336733507746e-05,1.937233665898796e-05,1.9372336632292646e-05,1.9372336748062944e-05,1.9372336773882182e-05,1.9372336800794675e-05,1.9372336764497965e-05,1.937233630377334e-05,1.9372336686104544e-05,1.9372336774310492e-05,1.937233677825031e-05,1.9372336702064095e-05,1.9372336810030766e-05,1.937233630377334e-05,0.6795989402863885,1.937233672357177e-05,0.320052357653386,1.9372336687116806e-05,1.9372336670424002e-05
high gothic,696,2,2.0559210966087384e-05,2.0559211042306058e-05,2.0559210901616915e-05,2.0559210770661562e-05,2.0559211007568647e-05,2.055921107749594e-05,2.055921080600498e-05,2.0559210956105524e-05,2.0559210526332547e-05,2.0559210883968038e-05,2.055921090344807e-05,2.0559211024709304e-05,2.0559210932551957e-05,2.055921105218008e-05,2.0559210526332547e-05,0.8379512933029258,0.025570997257949205,0.13612820285384644,2.0559210942806368e-05,2.0559210958404595e-05
high gothic,696,3,2.228164035131311e-05,2.2281640385385544e-05,2.2281640327850428e-05,2.2281640116178036e-05,2.2281640430558597e-05,2.2281640459379377e-05,2.2281640374513256e-05,2.2281640422638347e-05,2.2281639928716577e-05,2.2281640211680736e-05,2.2281640418139156e-05,2.228164044679823e-05,2.2281640322647714e-05,0.006845163109684616,2.2281639928716577e-05,0.7228893399984743,0.039631180493262315,0.23027781015376392,2.2281640366584895e-05,2.2281640323921933e-05
high gothic,696,4,2.4925224731155976e-05,2.4925224880599354e-05,2.4925224907401296e-05,2.4925224531345576e-05,2.49252248075337e-05,2.4925224822654575e-05,2.4925224783638808e-05,2.4925224759471278e-05,2.492522432703651e-05,2.4925224632252865e-05,2.4925224812787834e-05,2.49252248823252e-05,2.4925224751071855e-05,2.4925224747788596e-05,2.492522432703651e-05,0.667536706527083,0.10721017203780812,0.2248293926148985,2.4925224808492286e-05,2.4925224697634132e-05
