term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
m,0.07451706,-0.065731175,-0.0846492,-0.089521565,0.13010433,-0.10842913,-0.07860008,0.31793216,0.06803709,0.13502829,-0.119898304,-0.0337084,-0.054604147,0.17465284,0.02521516,-0.22287545,0.05384654,0.09945654,0.10832086,-0.20617461,0.13830325,-0.17822295,-0.07556237,0.050112233,0.008799621,-0.12829556,-0.073632345,0.012318331,-0.11401963,-0.03444662,0.25214317,-0.13020092,0.101694696,-0.108280614,0.002982248,-0.0027895,0.08669707,0.06837179,0.0071435007,-0.103598274,-0.09827037,-0.076031946,-0.03316486,0.13594869,0.14109193,0.039890204,-0.10156409,-0.12305905,0.037489846,0.15258898,0.02905846,-0.118288405,-0.0966866,-0.05759191,0.049124148,0.04646384,-0.09083405,-0.12729244,-0.21329698,-0.07822925,-0.048429083,0.025849164,0.007923148,-0.034907322,-0.17030236,0.13859415,0.02154361,0.23675239,-0.0029758976,0.11770223,0.20959002,0.11910412,0.23355551,-0.058603417,0.107052945,0.024906399,0.15445699,-0.057921298,-0.25868508,0.052293148,-0.24968849,-0.024317028,-0.21640879,0.20355286,-0.100446716,0.046034746,0.06967279,0.1683501,0.026377847,0.04091142,0.07562597,0.18897589,0.26013112,0.19442251,0.21414806,0.16964594,-0.0039575053,-0.06600826,0.033060674,0.0948469,-0.123481825,0.1972214,0.12415497,-0.05772103,-0.17212647,-0.1704376,0.16096456,0.03531947,-0.09020353,-0.117707714,0.012700853,-0.1391896,0.045997597,-0.1351772,0.033113804,-0.027787412,0.071031705,-0.13676894,-0.0049968516,-0.12184673,0.0046187676,0.1102613,-0.0129338065,0.033709217,-0.01845833,0.08183625,0.07240901,-0.07354108,-0.038804363,-0.002052975,0.045038853,-0.009341667,0.036206152,-0.07995667,-0.027522821,0.065215185,-0.10599104,-0.09373549,-0.029094718,-0.19822572,0.12027108,-0.13687916,-0.039728574,0.004462082,0.01551101,-0.007689043,-0.087512426,-0.010506318,-0.010569527,0.101859346,0.00306641,-0.063039325,-0.008978933,0.019936264,-0.12830529,0.108792074,0.012033888,0.08242691,-0.017620156,0.080802135,0.0598046,-0.007510962,-0.070466384,0.026437933,-0.029197494,0.002299716,0.11752771,-0.06440215,-0.049235854,0.03995253,-0.053379323,0.08852299,0.04293882,-0.016734634,0.03997202,0.035233818,-0.032542046,0.14963703,0.068975456,0.09898212,-0.08474674,0.12503679,0.023089278,0.048490014,0.010493084,0.05305556,-0.013138787,0.12120143,0.1674588,-0.0061226254,0.17931354,-0.007742026,-0.04744685,-0.10647996,-0.057169225,0.031290747,0.107060574,-0.15230498,0.03952772,-0.0024917636
try,0.011615218,-0.07503757,0.07544074,-0.046602458,0.19630198,-0.1443597,0.020086847,0.23756444,-0.073708005,0.12805873,-0.19185418,-0.13791582,-0.13057157,0.23268497,0.073330045,-0.06729542,-0.13136306,0.15240833,-0.040190313,-0.15893145,0.046465706,-0.10435463,-0.007300803,-0.06026551,-0.014865398,-0.20993033,-0.14415382,-0.045419727,-0.08639699,-0.15804835,0.32728416,0.075608835,0.1449775,0.16162181,0.009967167,0.103383034,0.1734822,0.0006866276,0.025769034,-0.26583892,-0.032849304,0.041989356,-0.06452972,0.0471524,0.2612664,0.007643497,0.15052173,-0.31061986,0.049949408,0.08335572,0.15027215,-0.09586557,0.13454579,-0.069920644,0.30302617,0.104023464,-0.019739373,-0.15294124,-0.22111571,-0.0675586,0.032183487,0.047773544,0.117943585,-0.06448564,-0.27579042,-0.064220905,0.08297468,0.22636555,-0.18153608,0.42237744,0.10983658,-0.16115452,0.17686741,0.13069907,0.062300894,0.14622323,0.16596791,-0.20491798,-0.45795852,-0.012157064,-0.27181947,-0.25793764,-0.3760154,0.5565893,-0.29201066,0.25311252,0.2708449,0.12785017,0.025292438,0.12594914,0.20673384,0.02482233,0.29104903,0.24003644,0.23013376,0.21745667,-0.17962453,-0.051565405,0.08193601,-0.05684004,-0.4234715,0.362539,0.10989646,-0.34025386,-0.35135332,-0.30287713,-0.083966345,0.16026151,0.007161509,-0.21595111,-0.10018732,-0.24555032,0.012804697,-0.17828329,-0.034583297,-0.17186077,0.08838394,-0.30404338,0.16558191,-0.010326784,0.117193006,0.13298139,0.091032855,-0.013902865,-0.060277555,0.015851319,-0.21516089,0.012141922,0.07875851,-0.21058756,-0.042021558,0.041804276,-0.04879167,0.1773277,0.06824684,0.24658836,-0.15987474,-0.23490106,-0.23526268,-0.19428723,0.19412364,-0.29458657,0.036998734,-0.08881715,-0.03848989,-0.09885528,-0.1577049,0.003210697,-0.071843565,0.18812576,-0.042666797,-0.05488978,-0.10035074,0.21071866,-0.037584238,0.087438494,0.0051187486,-0.034317818,-0.20042893,0.033519033,-0.052378364,-0.02972858,0.09847574,-0.18026178,0.15327834,0.06498904,0.025793675,-0.16205175,-0.011196823,-0.10413384,0.02880623,0.054870907,-0.058251202,-0.15470465,-0.056622684,-0.024814717,-0.06272102,0.012508264,0.2206258,0.11470012,-0.040843762,0.0989543,0.035609487,0.020887492,0.14789073,0.0229205,-0.0036201347,0.17987743,0.02175211,-0.0038915456,-0.052246988,-0.08320487,-0.14234628,-0.14168069,0.17630236,0.14389841,0.002637883,0.02191457,-0.11539915,-0.0609149
die,0.06451351,-0.2234898,0.08627609,-0.06425774,0.2799131,-0.22621392,-0.0475691,0.23777372,-0.061251603,0.13538653,-0.18160842,-0.14182048,-0.13623905,0.26894116,0.06508496,-0.06883258,-0.16235062,0.08114664,0.11558398,-0.13721855,0.06347535,-0.09903144,-0.024519907,-0.07874513,-0.021252185,-0.123149,-0.029725293,0.052312568,-0.11106608,-0.16010486,0.3416373,0.11637608,0.15076068,0.13360548,0.03276917,0.1730279,0.11226235,0.002754959,-0.024062349,-0.20279418,-0.09614652,0.024184084,-0.06238121,0.11413606,0.23660286,0.049856763,0.13947295,-0.299508,0.023890672,0.14634076,0.07536826,-0.11232077,0.032585938,-0.048265364,0.33273786,0.11401788,-0.022120602,-0.1473159,-0.21119252,-0.04112972,-0.124858476,-0.0016091438,0.08681176,-0.004610731,-0.3649563,-0.013754466,0.0078679025,0.2739318,-0.22267334,0.48922417,0.059440106,0.0381026,0.14694156,0.19174224,0.20335698,0.1327572,0.18587437,-0.2542282,-0.39306447,0.010670434,-0.16888048,-0.12167604,-0.34852728,0.4059795,-0.21307485,0.2248293,0.2544707,0.24052347,0.053718597,0.14710648,0.079444796,0.12109104,0.24839589,0.2256844,0.19820061,0.34428397,-0.087887995,-0.0139711555,0.047987018,-0.0068641254,-0.29313114,0.29820594,0.091161534,-0.22533059,-0.28474155,-0.24154225,-0.110222034,0.17114617,0.060951155,-0.15583073,-0.012955862,-0.20556441,0.024522848,0.0041812207,-0.07128973,-0.15556785,0.026859118,-0.21192761,0.098673895,-0.008981494,0.14612505,0.024543058,-0.0121458685,-0.10901178,0.018036846,-0.028672455,-0.15492761,0.041548744,0.1600274,-0.17453296,-0.023888864,0.04315057,-0.07812613,0.13029388,0.054301593,0.11448664,-0.07734744,-0.07395845,-0.15427762,-0.18266228,0.15445407,-0.081482075,-0.03581582,0.010220742,-0.049887624,-0.20044062,-0.0743715,0.0071916487,0.00391846,0.16481927,0.051192284,-0.034696527,-0.011454434,0.1529775,-0.05992131,0.076654136,0.017185712,0.010148345,-0.13432187,0.008724092,0.01648006,0.082663484,0.1381046,-0.15896565,0.066822015,0.048628982,0.03144568,-0.01194796,0.03291337,-0.061569367,0.013274914,0.005871858,-0.03526617,-0.09893456,0.033285506,0.0417822,-0.06290174,0.089317724,0.031844996,0.07423054,-0.058757897,0.06633661,0.06756998,-0.06609637,0.18224639,0.013225663,0.004226116,0.1430706,0.06459428,-0.03423906,-0.03730833,-0.07346287,-0.07277559,-0.13325082,0.011789849,0.096939065,0.04371243,0.083856255,-0.045191504,0.044934575
least,0.05087282,-0.19323017,0.055190846,0.0031283102,0.12719114,-0.15909281,-0.05051893,0.31807226,-0.024797011,0.1788518,-0.22783169,-0.1758073,-0.05630488,0.34768495,0.066000454,-0.03880822,-0.09226231,0.21196903,0.0009571766,-0.3102709,0.14377147,-0.09114189,0.029763062,-0.04770453,0.027605867,-0.09547029,-0.07553932,0.121172205,-0.07365688,-0.11722701,0.30642274,0.05998295,0.188631,0.115734376,-0.09051274,0.17175089,0.10843952,-0.013802417,0.0072895237,-0.2815241,-0.084305726,-0.027705211,-0.09101778,0.06728766,0.13617648,0.14023407,0.09435723,-0.15547873,0.017272761,0.15798382,0.045190457,-0.11195036,-0.03839482,-0.09741792,0.17096984,0.14296187,-0.108913906,-0.16423856,-0.24630885,0.013928036,-0.088321485,-0.009569525,0.088046856,-0.062353276,-0.2512648,0.06233622,0.0546249,0.25420064,-0.18226221,0.33375716,0.106408074,0.041156966,-0.054129593,0.08921098,0.027911516,0.15446375,0.20295762,-0.34833714,-0.21791781,-0.02125135,-0.058209274,-0.17195393,-0.24797858,0.4019511,-0.07828893,0.3057847,0.16352123,0.19441299,-0.0042597074,0.095297016,0.05813264,0.108125016,0.0036391045,0.19498582,0.054596607,0.2705207,-0.07976445,-0.13495983,0.06618883,0.17761168,-0.111468226,0.10236479,-0.028288808,-0.0012742464,-0.08904905,-0.04475265,-0.004335972,0.12462055,0.034360435,0.0422844,0.056989267,-0.058802806,0.035208408,-0.03818341,-0.09870428,-0.12742017,0.033092916,-0.11844162,0.032344673,-0.058052752,0.21177034,0.05484575,0.010920552,-0.10937844,0.0022761342,0.1445957,-0.102505706,0.057834283,0.057683203,-0.15789235,0.14858736,0.08108157,0.020374225,0.007401156,0.085689336,0.0085948985,-0.052319013,-0.037276946,-0.18579406,-0.037290648,0.2029594,-0.116355635,-0.08853878,0.027502766,-0.05356235,-0.05114028,0.030057786,-0.046610627,0.104244225,0.2302836,0.07279931,-0.1640006,0.000742726,0.2825067,-0.25831562,0.22746895,0.05304025,0.20347488,-0.022037325,0.099094905,-0.010354075,0.08065121,-0.024631707,-0.11978825,0.11722885,0.11611291,0.24043137,-0.07683915,0.041668892,0.009988956,-0.07083646,0.08742779,0.079697564,-0.0487646,0.0576315,0.076473616,-0.04725555,0.17671,0.021892939,0.13209726,-0.20885593,0.1378598,0.08913846,-0.14286935,0.16700572,-0.09555742,0.032861993,0.079698,0.19047736,-0.070835836,0.02693098,0.044089325,-0.020769184,-0.22583453,-0.05254623,0.09340719,0.03918958,0.014731394,-0.15924801,0.13907081
daughter,0.1289358,-0.017900785,-0.08729578,0.0364753,-0.0127397105,0.05890427,-0.045909036,0.08576043,0.08794355,0.14953947,-0.033429768,-0.020993313,0.00023293984,0.17417303,0.04125174,-0.1864817,0.21489908,0.09765419,0.117649525,-0.16239084,0.06626823,-0.17972916,0.0042688656,0.106734894,0.09259756,-0.15911011,0.04641349,-0.104721434,-0.03706575,-0.21535315,0.2773136,0.10681517,-0.026044438,0.025977414,-0.012569071,0.02418314,0.14032677,-0.06516192,-0.03946556,-0.16189542,-0.016863408,-0.12352643,0.015506552,0.20217524,0.1245631,0.12313407,0.04058077,-0.08019216,0.050842322,0.044769503,0.098542996,0.013965261,0.060081474,0.0039055652,0.084078215,-0.097940125,0.0065041254,-0.15354168,-0.164494,-0.12289394,0.03039279,0.037937857,-0.017031787,0.09995268,-0.26745814,0.10020899,-0.11900614,0.16666627,-0.15761799,0.031116007,0.14725788,-0.00045110055,0.27554178,0.011848196,0.09911566,0.14826478,0.11515642,0.08856208,-0.13567832,0.056969326,-0.11820586,-0.08571206,-0.028513022,0.035186145,-0.0009512029,-0.0031633107,0.11706361,0.1451286,0.11884721,-0.019745447,0.01669008,0.07555149,0.08601952,0.17839837,0.075700924,0.20023754,0.02170851,-0.03929936,-0.036406025,0.049005557,-0.11570268,0.23101793,0.12712795,-0.060364127,-0.24926616,-0.25745213,0.02800331,0.040216997,-0.036184426,-0.10353665,-0.056185476,-0.11369347,-0.012274416,-0.21995549,0.06149547,-0.07428082,0.18049535,-0.12315984,-0.119746864,-0.13332233,0.09183359,0.22106306,0.14533108,-0.06488015,-0.10271384,0.30308864,-0.13327037,-0.13166791,-0.02513546,0.13691962,-0.045983203,0.114514455,0.054407354,-0.09242232,-0.1699543,0.23256032,-0.051363073,-0.23089448,-0.16983783,-0.13735987,0.15946294,-0.10619407,0.023416994,0.11620335,0.12973034,0.010342298,-0.09942649,-0.21359673,0.083928175,-0.084694214,-0.0559893,-0.091266386,0.1188344,0.068109065,-0.15179305,0.21541165,0.10198632,0.062820636,0.005943849,0.11420524,0.22601111,-0.0071943514,-0.06377682,0.010824556,-0.038552944,0.04004248,-0.0017071897,-0.021020414,-0.098468706,0.12225569,-0.1492233,0.17171653,0.033724416,-0.05970915,-0.04656369,0.26126623,-0.15039715,0.092844166,0.038573246,0.034695406,-0.13005278,0.09176793,0.16300446,0.11872949,-0.02861325,0.2416524,0.019798663,0.30633196,0.38997003,0.06385382,0.1521246,-0.0766037,-0.18620686,-0.018084675,0.10264768,0.11753321,0.111931086,0.011907413,-0.032014325,0.041379496
hyde,0.14275885,-0.12642245,-0.0465522,-0.043857448,0.13830897,-0.10268078,-0.11000195,0.30258173,0.01794675,0.1468615,-0.10467553,-0.057470664,-0.024444576,0.26247936,-0.032817956,-0.19788535,0.16675216,0.16459817,0.1518069,-0.24849238,0.19417211,-0.108294085,-0.008518877,0.10854861,0.096278526,-0.11217725,0.020613533,0.016373176,-0.066260144,-0.14304295,0.20479931,0.021821843,0.08532078,-0.01971233,-0.013489002,0.01375516,-0.025128335,-0.00848854,-0.015099573,-0.14484005,-0.06238983,-0.05648349,0.0055532875,0.13854754,0.011509178,0.06874038,-0.056938805,-0.08167729,0.0055271,0.22682995,-0.011744954,-0.081294954,-0.13657476,-0.103313096,0.11012124,0.010821279,-0.094960466,-0.19883074,-0.17495902,-0.065869324,-0.10999188,-0.06701965,0.051183954,0.029962827,-0.25280505,0.18486893,-0.111244775,0.266472,-0.12655489,0.16973618,0.18084434,0.16989522,0.18231136,0.0035755225,0.14390998,0.06551861,0.12173712,-0.010886954,-0.16283341,0.095297456,-0.14324278,0.020977516,-0.10833255,0.11610399,-0.023873553,0.043151565,0.12287807,0.067911744,0.10168857,0.080952235,-0.015924511,0.09642358,0.077975355,0.100480035,0.04441386,0.21667421,0.033052962,-0.045443334,0.028592719,0.12029271,-0.00798574,0.10107286,0.07755116,0.025555365,-0.16123243,-0.13002834,0.052681647,0.08952183,-0.035798926,-0.072887436,0.021616422,-0.024682887,-0.033799917,-0.03988398,-0.029253634,0.035429023,0.10745378,-0.09201477,-0.056068145,-0.08558763,0.10989497,0.055330563,0.10890203,-0.08695497,0.078429155,0.12186108,-0.14486524,-0.07960041,-0.077814065,0.12918395,0.009152392,0.040255133,0.030206395,-0.11193949,-0.01392999,0.044914544,-0.11153934,-0.07493272,-0.09160293,-0.16508718,0.1201224,-0.04639653,-0.024633104,0.14053851,0.052796226,-0.036230993,-0.059494037,-0.11701907,0.05649501,0.12713757,0.024191158,-0.016032547,-0.010716023,0.048436504,-0.10189763,0.19240247,0.18869795,0.20119347,0.07460823,0.05245242,0.17141509,0.07502001,-0.04614417,0.029037856,-0.06801477,0.052329835,0.16539007,-0.016463785,0.06045911,0.068547934,-0.09800181,0.0951147,0.07650157,0.06284212,0.013435315,0.14603375,-0.06456838,0.10984937,-0.022652728,0.020093136,-0.16902162,0.15660265,0.14202239,-0.008331722,0.018076628,0.094116054,0.034090437,0.12641446,0.23365879,-0.025307925,0.13123563,-0.03139792,-0.07861732,-0.08993483,-0.08864376,0.09028323,0.104221866,-0.0520062,-0.045100737,0.04925026
kept,0.036682934,0.0039901035,-0.023161013,-0.012478716,0.02612831,-0.09116771,-0.012025032,0.12804134,0.029921763,0.116324194,-0.054564837,-0.013759758,0.003835853,0.12495393,-0.013484043,-0.069356374,0.076712474,0.03789185,0.09856468,-0.16198133,0.08234278,-0.06880157,-0.025087118,0.03979534,0.04735349,0.010741345,-0.041366454,0.055425342,-0.094087735,-0.0080550695,0.11982818,-0.021997668,0.027293203,-0.116269566,-0.015769394,0.018295266,0.049202524,0.015446054,-0.015827026,-0.041089486,-0.11424557,-0.12882507,-0.024415355,0.085794576,0.119639695,0.06550077,-0.17120028,-0.07679379,-0.020176068,0.11393901,-0.04267917,-0.042585615,-0.107194275,0.01140227,-0.028775038,-0.020164885,-0.055624276,-0.18138352,-0.13013272,-0.053617004,-0.06271589,0.0570919,-0.02667485,0.049640656,-0.12650171,0.15863986,0.049472272,0.12389014,0.05427535,0.06485924,0.13076676,0.11501866,0.13034008,-0.041378923,0.060355015,0.057041775,0.14012094,-0.02696274,-0.111304075,-0.076721855,-0.16116658,-0.010032669,-0.12693584,0.096215755,-0.09315405,0.040884614,0.078172326,0.17325766,0.035503622,0.049249128,0.03545739,0.14702772,0.17129512,0.098736815,0.16463144,0.190501,0.020497521,-0.08294675,0.017360486,0.09795083,-0.038049888,0.15542887,0.1293997,0.0060067168,-0.13731453,-0.18514633,0.18545958,0.062900566,-0.078859374,-0.10628963,0.04778434,-0.08200975,0.09256996,-0.071162224,0.055958174,-0.084663935,0.016279254,-0.15573761,-0.120766796,-0.20884071,0.024365027,0.09915545,0.0114219645,-0.09471956,-0.16033062,0.1966367,0.113708735,-0.07698461,-0.06631416,0.061167564,0.0016933708,0.067410074,0.0016239348,-0.070447184,-0.0694732,0.16258179,0.0039312644,-0.13834305,-0.062580034,-0.10217619,0.22451708,-0.10472517,-0.04976234,-0.0121895,0.17245795,0.059622675,-0.06478803,-0.022099312,0.010181393,-0.033814583,0.003424679,-0.017517114,0.05111788,0.0838208,-0.3314537,0.21738721,0.10602998,0.23111859,0.0414213,0.07620573,0.23930076,0.0060599595,-0.081070825,-0.0324065,0.01771179,0.091818616,0.15583913,0.031194832,-0.11877011,0.053943355,-0.054745432,0.1011158,0.06955137,0.051919147,0.10205907,0.25785232,-0.117017895,0.11401786,-0.048298676,0.06521754,-0.12099565,0.083270505,0.06401823,0.0075657596,0.045158125,0.051185995,0.07056064,0.062386606,0.25338352,-0.04036085,0.26071054,0.04818642,-0.08726973,-0.06392041,-0.09207584,0.11336783,0.15831219,-0.1093096,0.05013303,0.026310539
hours,0.11661856,-0.0532709,0.01822639,-0.048364215,0.062373653,-0.16300654,-0.041047003,0.11390828,-0.043751378,0.07920753,-0.05416939,0.0013145977,-0.05329296,0.18895859,-0.06389711,-0.05925539,0.15601537,0.07166698,0.16234091,-0.22698374,0.15709631,0.009590281,0.022795701,0.074630104,0.057257544,0.036077168,0.010705361,0.12329808,-0.085065834,-0.089332975,0.09113718,0.054196924,0.052567404,-0.094245605,-0.018572137,0.013086363,-0.014609472,-0.057521548,-0.06618117,-0.026417505,-0.12116588,-0.07930529,-0.041999128,0.04764183,0.06000345,0.0891078,-0.20530872,-0.111941546,-0.06108086,0.24440958,-0.04187549,-0.033516604,-0.1961608,-0.070047624,0.055837426,-0.02992716,-0.07157484,-0.26350963,-0.18337913,-0.07952109,-0.1825008,-0.0044019734,0.0013213485,0.01954928,-0.21491817,0.21199213,-0.08883583,0.147375,-0.018217033,0.124166444,0.101825014,0.18946017,0.08459141,0.015581066,0.15034533,0.029866211,0.15741046,-0.018759936,-0.118015215,-0.0018378516,-0.15165435,0.051252335,-0.08615533,0.14827836,-0.12792575,0.09229778,0.14119354,0.15350221,0.0030532444,0.084338345,0.047120787,0.07263984,0.07063975,0.036570996,0.09828847,0.29181287,0.017362235,-0.12301814,-0.0262945,0.11417773,-0.014313185,0.1358716,0.13921489,0.06841369,-0.12874173,-0.18433738,0.14200856,0.16618912,-0.05957566,-0.11327103,0.07611596,-0.073724575,0.072540246,0.006347931,-0.017527226,-0.06747254,0.03858599,-0.12408718,-0.13143474,-0.17655735,0.04738116,0.011666727,0.049437333,-0.20172796,0.0004694035,0.19504109,0.014629792,0.018191142,-0.07381973,0.10718339,-0.029797642,0.097141474,-0.024006413,-0.08382391,-0.044558097,0.14778297,-0.0054670935,-0.14159015,-0.08893882,-0.12584187,0.1920165,-0.08253019,-0.03373579,0.12315999,0.16165866,0.008888211,-0.064995155,-0.114386134,0.040768158,0.06886139,0.024057828,0.03736231,0.0121842595,0.10708277,-0.33217284,0.2510196,0.3155556,0.31648,0.1414972,0.077106744,0.3105695,0.090884276,-0.07019625,0.01172608,0.0046164407,0.12494327,0.20945208,0.057006605,-0.019104034,0.12728308,-0.075167485,0.02567103,0.083728045,0.14322503,0.08971232,0.25621042,-0.10551125,0.05002308,-0.093832195,0.027050698,-0.17008759,0.18120344,0.06687019,-0.0951689,0.09557582,0.051283702,0.06689753,0.08039079,0.23637837,-0.04049222,0.27176842,0.04708499,-0.08194045,-0.08249608,-0.12817429,0.11220322,0.12323463,-0.05850745,0.04444251,0.023994222
times,0.08191951,-0.11093458,0.0005510624,0.04829314,0.027789842,-0.071465835,-0.09421131,0.09997726,0.0243308,0.15070233,-0.11877588,-0.039373476,-0.022881147,0.17691135,0.029509176,-0.008806962,0.08468273,0.084963225,0.06543819,-0.30358866,0.10334048,-0.040147606,-0.032366235,-0.0076189316,0.013868873,0.00057542825,0.031167429,0.07556457,-0.08203398,-0.12536722,0.15685464,0.09957776,0.059049934,-0.02501162,-0.09015177,0.11585428,0.07907845,-0.032253925,-0.043789163,-0.058385313,-0.11733733,-0.093144745,0.009588728,0.028860558,0.13372625,0.2206541,-0.15604752,-0.15332909,-0.058029335,0.1967086,-0.06656746,-0.07656973,-0.15000252,-0.026230441,0.07634196,-0.017341882,-0.07009606,-0.28906152,-0.20688373,-0.069625914,-0.086618625,0.029512733,0.055496905,-0.024030989,-0.21119891,0.10862732,-0.109974556,0.15851767,-0.07938817,0.119639136,0.034671254,0.14779417,-0.001550461,0.02220489,0.0842951,0.08100337,0.20814955,-0.15654889,-0.10434358,-0.07336946,-0.03481872,-0.055982325,-0.14782943,0.16709271,-0.043081474,0.2110425,0.11500738,0.2102637,0.042426493,0.08459377,-0.03392018,0.14198798,0.020276314,0.13030224,0.032984197,0.31459367,-0.009160106,-0.20231892,0.04422286,0.16153605,-0.054716542,0.09429113,0.08308377,0.07318564,-0.083293185,-0.17950681,0.09375124,0.16754898,-0.048103083,-0.015863188,0.058388982,-0.054117806,0.12592947,-0.00741361,-0.061362006,-0.1570435,0.0006036061,-0.14542216,-0.10293515,-0.20521566,0.14002778,0.06781116,0.033139724,-0.18201196,-0.06039051,0.27279115,-0.034147747,0.009684493,-0.050791834,0.030477863,0.093832724,0.11203013,0.041873664,-0.05295112,-0.013894015,0.15052812,0.049567036,-0.11063115,-0.16283204,-0.08864785,0.19947837,-0.076448016,-0.07177941,0.08083607,0.12450872,0.01959323,0.029535724,-0.12064559,0.095210984,0.033998817,0.054879665,-0.04086511,0.09782464,0.12366531,-0.36093578,0.2752928,0.23624946,0.3320921,0.13322622,0.10293477,0.1927755,0.030279072,-0.09759568,-0.032119796,0.05440166,0.15271683,0.21657927,0.05480354,-0.005257774,0.08323469,-0.12172333,0.07496531,0.1319271,0.09692064,0.11138847,0.26089036,-0.12465276,0.12552753,-0.07450465,0.099070415,-0.19909653,0.174129,0.14578953,-0.0785486,0.14822358,0.04757871,0.08280856,0.045495585,0.29775718,-0.05053606,0.14390646,0.0584062,-0.035696324,-0.070576,-0.0843208,0.074003674,0.052915435,-0.026667431,-0.08480344,0.11777443
spirits,0.10354292,-0.048238613,-0.02421551,-0.009092936,0.02104677,-0.014818551,-0.027702106,0.06324572,0.0853166,0.13203776,-0.05793686,0.015415423,-0.049498435,0.12650374,0.0011281859,-0.104881026,0.17821178,0.058949217,0.117943265,-0.112943746,0.12232123,-0.05348981,0.00870185,0.13051051,0.094375096,-0.034084328,0.01388965,-0.015465335,0.001956178,-0.14634003,0.13113122,0.08758968,-0.0033323315,-0.085105896,-0.03605342,-0.03169338,0.024895148,-0.0935716,-0.01109258,-0.108857915,-0.046116974,-0.15508018,0.0074115572,0.09588335,0.08483299,0.107905254,-0.07767983,-0.13679506,-0.0038153369,0.15066448,0.0010883771,-0.040707402,-0.034399334,-0.041556817,0.115925,-0.075675055,-0.017536746,-0.27821898,-0.14322904,-0.15544093,-0.06903548,-0.028673153,0.017095651,0.076257855,-0.22166504,0.13959129,-0.06680789,0.13451749,-0.07679839,0.033412945,0.040929183,0.023725491,0.22801399,0.0009978381,0.052939065,0.08123969,0.14139743,0.06032334,-0.16035552,-0.047228843,-0.13800499,-0.045147564,-0.051353503,0.07694726,-0.02798328,0.0021833198,0.13531542,0.109992266,0.08730693,0.05565998,0.012974012,-0.03978197,0.053604934,0.021473477,0.0279614,0.15099868,0.048371654,-0.041183624,-0.0032624896,0.04567985,-0.065109424,0.12780021,0.08742427,-0.007233427,-0.2053587,-0.31663644,0.015977144,0.10854862,-0.07762993,-0.16137737,-0.0069182003,-0.0038611183,-0.05636387,-0.13402422,0.07156805,-0.06341362,0.15260135,-0.1953842,-0.13316245,-0.24883944,0.112745285,0.13037154,0.13367923,-0.16234045,-0.087660685,0.3318066,-0.047203686,-0.1093594,-0.06504223,0.16399045,-0.13156463,0.13451801,-0.0012604524,-0.02242046,-0.13826847,0.27518114,-0.026850177,-0.25535968,-0.11226876,-0.18626991,0.2841269,-0.18115868,0.01693417,0.07622576,0.25881153,0.043998487,-0.11266021,-0.20596746,0.09954433,-0.06898406,-0.080528945,0.06704755,0.056498155,0.13120984,-0.2606561,0.25989637,0.18934648,0.16438451,0.097287215,0.07623842,0.3474418,-0.0014289106,-0.11875453,0.01166616,0.018701497,0.10473507,0.12034147,-0.027060881,-0.029934768,0.10630007,-0.107640125,0.13339324,0.06409354,0.06492531,-0.016322933,0.32728094,-0.11340043,0.014776124,0.013389163,0.02777118,-0.097287744,0.10967915,0.1743871,0.05027663,-0.025033776,0.15082815,0.09129751,0.19242589,0.35287684,0.033346362,0.16459092,-0.036772937,-0.12141559,-0.017003294,-0.0009136321,0.14456704,0.11107572,-0.07243954,0.0042816615,0.05752989
